
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2020-07-04;47.434,52;7039780559442;49.647,29;7262884100246;45.445,25;10099438665254;49.103,74;2370314677075;75.959,52;1039091015616;45.588,86;5696185100311;50.004,22;49182611077
2020-07-05;47.434,52;7039780559442;49.647,29;7262884100246;45.445,25;10099438665254;49.103,74;2370314677075;75.959,52;1039091015616;45.588,86;5696185100311;50.004,22;49182611077
2020-07-06;47.434,67;7035341803199;49.652,20;7259944563093;45.451,69;10089677902578;49.140,55;2370814805161;75.982,11;1039171889005;45.606,58;5697795138962;50.008,56;49169711280
2020-07-07;47.623,81;7060681784946;49.863,95;7290455836000;45.640,26;10127632173544;49.388,64;2383203055395;76.329,93;1043768965707;45.832,99;5729607385675;50.171,29;49337837396
2020-07-08;47.709,00;7062680219933;49.983,74;7292056733989;45.713,25;10131655094906;49.501,46;2387438496339;76.485,91;1045474334190;45.932,10;5738509865581;50.275,36;49306170526
2020-07-09;47.844,03;7072615384612;50.181,30;7313885009924;45.856,68;10145644409411;49.647,80;2393975747897;76.745,74;1049290476327;46.075,75;5752057094505;50.430,40;49381578788
2020-07-10;47.513,57;7010864118020;49.775,53;7244981980012;45.496,31;10039174331319;49.221,61;2372747027441;76.162,43;1041455800786;45.723,59;5703608413152;50.048,81;48919705786
2020-07-11;47.513,57;7010864118020;49.775,53;7244981980012;45.496,31;10039174331319;49.221,61;2372747027441;76.162,43;1041455800786;45.723,59;5703608413152;50.048,81;48919705786
2020-07-12;47.513,57;7010864118020;49.775,53;7244981980012;45.496,31;10039174331319;49.221,61;2372747027441;76.162,43;1041455800786;45.723,59;5703608413152;50.048,81;48919705786
2020-07-13;47.478,65;6988642780692;49.707,43;7216017823079;45.486,91;10022049741916;49.163,71;2371412684109;76.059,60;1039229222138;45.668,56;5695844105695;49.995,63;48990192396
2020-07-14;47.386,38;6984078102765;49.605,87;7199729310864;45.378,35;10023330339160;49.065,51;2373378851818;75.863,06;1038101103112;45.562,63;5688779686821;49.943,85;49197698091
2020-07-15;47.439,55;7079581451213;49.666,24;7239241054043;45.443,49;10117034862472;49.137,53;2388248005555;75.971,97;1041612384287;45.627,42;5712613108233;50.009,04;52440219377
2020-07-16;47.439,55;7079581451213;49.666,24;7239241054043;45.443,49;10117034862472;49.137,53;2388248005555;75.971,97;1041612384287;45.627,42;5712613108233;50.009,04;52440219377
2020-07-17;47.286,43;7063347788384;49.448,57;7215053363107;45.291,42;10095893726641;48.954,63;2386162514779;75.695,56;1039788179881;45.441,63;5695884542103;49.811,68;52347544643
2020-07-18;47.286,43;7063347788384;49.448,57;7215053363107;45.291,42;10095893726641;48.954,63;2386162514779;75.695,56;1039788179881;45.441,63;5695884542103;49.811,68;52347544643
2020-07-19;47.286,43;7063347788384;49.448,57;7215053363107;45.291,42;10095893726641;48.954,63;2386162514779;75.695,56;1039788179881;45.441,63;5695884542103;49.811,68;52347544643
